Refludan|Lepirudin
Acetaminophen Pm Extra Strength|Acetaminophen
Acetaminophen Pm Extra strength|Acetaminophen
Acetaminophen Pm extra strength|Acetaminophen
Acetaminophen Pm Rapid Release|Acetaminophen
Acetaminophen Rapid Action Gelcaps 500mg|Acetaminophen
Acetaminophen Rapid Release|Acetaminophen
Acetaminophen Rapid Release Extra Strength|Acetaminophen
Acetaminophen Regular Strength|Acetaminophen
Acetaminophen Sinus Congestion and Pain A P J COATED|Acetaminophen
Acetaminophen Sinus Congestion and Pain Daytime|Acetaminophen
Acetaminophen Sol Orale D'acetamin 80mg/5ml|Acetaminophen
Acetaminophen Solution Oral Gtte 80mg/ml USP|Acetaminophen
Acetaminophen Syrup 160mg/5ml USP|Acetaminophen
Acetaminophen Tab 325mg|Acetaminophen
Acetaminophen Tab 325mg USP|Acetaminophen
Acetaminophen Tab 500mg|Acetaminophen
Acetaminophen Tab 500mg Ext Strength|Acetaminophen
Acetaminophen Tab 500mg Extra Strength USP|Acetaminophen
Acetaminophen Tab 500mg USP|Acetaminophen
Acetaminophen Tab Extra Strength 500mg|Acetaminophen
Acetaminophen Tablet 325mg|Acetaminophen
Acetaminophen Tablets 325 mg|Acetaminophen
Acetaminophen Tablets 325mg|Acetaminophen
Acetaminophen Tablets Extra Strength|Acetaminophen
Acetaminophen Tablets Regular Strength|Acetaminophen
Acetaminophen Tablets USP|Acetaminophen
Acetaminophen Tablets USP 160 Mg Chewable|Acetaminophen
Acetaminophen Tablets USP 325 mg|Acetaminophen
Acetaminophen Tablets USP 325mg|Acetaminophen
Acetaminophen Tablets USP 500 mg|Acetaminophen
Acetaminophen Tablets USP 500mg|Acetaminophen
Acetaminophen Tablets USP Soft Chews 160mg|Acetaminophen
Acetaminophen USP Extra Strength Caplets|Acetaminophen
Acetaminophen With Codeine|Acetaminophen
Acetaminophen, Chlorpheniramine Maleate, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride|Acetaminophen
Acetaminophen, Chlorpheniramine Maleate, Phenylephrine Hydrochloride|Acetaminophen
Acetaminophen, Dextromethorphan Hydrobromide, and Phenylephrine Hydrochloride|Acetaminophen
Acetaminophen, Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride|Acetaminophen
Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride|Acetaminophen
Acetaminophen, Diphenhydramine Hydrochloride|Acetaminophen
Acetaminophen, Diphenhydramine Hydrochloride, Phenylephrine Hydrochloride|Acetaminophen
Acetaminophen, Diphenhydramine Hyhrochloride, Phenylephrine Hydrochloride|Acetaminophen
Acetaminophen, Guaifenesin, Phenylephrine Hydrochloride|Acetaminophen
Acetaminophen, Phenylephrine Hydrochloride|Acetaminophen
Acetaminophen,dextromethorphan,phenylephrine|Acetaminophen
Acetaminophen-apap 8 Hour|Acetaminophen
Acetaminophen-odan Tablets 325mg|Acetaminophen
Acetaminophen-odan Tablets 500mg|Acetaminophen
Acetaminophen/dextromethorphan/pseudoephedrine|Acetaminophen
Acetaminophene|Acetaminophen
Acetaminophene - Liq 160 Mg/5 Ml|Acetaminophen
Acetaminophene - Liq 80 mg/ml|Acetaminophen
Acetaminophene 160mg Comprimes A Croquer|Acetaminophen
Acetaminophene 160mgco.croquable Pour Enfant|Acetaminophen
Acetaminophene 325 Tab|Acetaminophen
Acetaminophene 325tab|Acetaminophen
Acétaminophène 500 Mg Comprime|Acetaminophen
Acetaminophene 500 Tab|Acetaminophen
Acetaminophene 500tab|Acetaminophen
Acetaminophene 80 Pour Enfants Tab|Acetaminophen
Acetaminophene 80mg Comprimes A Croquer|Acetaminophen
Acetaminophene 80mgco.croquable Pour Enfant|Acetaminophen
Acetaminophene Avec Antihistaminique|Acetaminophen
Acétaminophène Blason Shield 500|Acetaminophen
Acétaminophène Caplet 325|Acetaminophen
Acétaminophène Caplet 500|Acetaminophen
Acétaminophène Comprimé Tablet 325|Acetaminophen
Acétaminophène Comprimé Tablet 500|Acetaminophen
Acetaminophene Comprimes 160mg|Acetaminophen
Acetaminophene Comprimes Croquables 160mg|Acetaminophen
Acetaminophene Extra-fort|Acetaminophen
Acetaminophene Regulier 325mg - Tab|Acetaminophen
Acetazone Forte|Acetaminophen
Acetazone Forte C8|Acetaminophen
Actifed Pe Plus|Acetaminophen
Actifed Plus Caplet|Acetaminophen
Actifed Plus Caplets|Acetaminophen
Added Strength Pm|Acetaminophen
Adult Cold, Flu and Sore Throat|Acetaminophen
Adult Extra Strength Pain Relief|Acetaminophen
Adult Flu and Cough Sanaflu|Acetaminophen
Adult Pain Reliever/fever Reducer|Acetaminophen
Advanced Pain Reliever|Acetaminophen
Alka-seltzer Plus Cold and Cough|Acetaminophen
Alka-seltzer Plus Cold and Cough Formula|Acetaminophen
Alka-seltzer Plus Day Cold and Flu|Acetaminophen
Alka-seltzer Plus Day Non-Drowsy Cold and Flu Formula|Acetaminophen
Alka-seltzer Plus Day Severe Cold Plus Flu|Acetaminophen
Alka-seltzer Plus Day Severe Cold, Cough and Flu|Acetaminophen
Alka-seltzer Plus Fast Crystals Packs Cold Formula|Acetaminophen
Alka-seltzer Plus Fast Packs Cold and Flu Formula|Acetaminophen
Alka-seltzer Plus Flu Formula|Acetaminophen
Alka-seltzer Plus Night Severe Cold, Cough and Flu|Acetaminophen
Alka-seltzer Plus Severe Cold And Flu Formula|Acetaminophen
Alka-seltzer Plus Severe Cold, Mucus and Congestion|Acetaminophen
Alka-seltzer Plus Severe Cough Mucus and Congestion Liquid Gels|Acetaminophen
Alka-seltzer Plus Severe Sinus and Cold|Acetaminophen
Alka-seltzer Plus Severe Sinus Cold and Cough Liquid Gels|Acetaminophen
Alka-seltzer Plus Severe Sinus Congestion and Cough|Acetaminophen
Alka-seltzer Plus-d Multi-symptom Sinus and Cold|Acetaminophen
Allergie Extra Fort|Acetaminophen
Allergy|Acetaminophen
Allergy + Sinus Relief Extra Strength Tablets|Acetaminophen
Allergy + Sinus Relief Extra Strength Tablets Pe|Acetaminophen
Allergy + Sinus Relief Regular Caplets|Acetaminophen
Allergy and Cold|Acetaminophen
Allergy and Cold Pe|Acetaminophen
Allergy and Cold Relief|Acetaminophen
Allergy and Pain Relief Multi-Symptom|Acetaminophen
Allergy and Sinus Headache|Acetaminophen
Allergy and Sinus Headache Relief Complete|Acetaminophen
Allergy and Sinus Relief Extra Strength|Acetaminophen
Allergy multi symptom|Acetaminophen
Allergy Multi Symptom|Acetaminophen
Allergy Multi-symptom|Acetaminophen
Allergy Multi-Symptom|Acetaminophen
Allergy Multi-symptom Relief|Acetaminophen
Allergy Mutli-symptom|Acetaminophen
Allergy pain relief|Acetaminophen
Allergy Plus Sinus Headache|Acetaminophen
Allergy Relief Multisymptom|Acetaminophen
Allergy Relief Plus Sinus Headache|Acetaminophen
Allergy Severe|Acetaminophen
Allergy Sinus Headache Caplets|Acetaminophen
Allergy Sinus Medication|Acetaminophen
Allergy Sinus Medication  -  Caplet|Acetaminophen
Allergy Sinus Nighttime Relief|Acetaminophen
Allergy Sinus Pe|Acetaminophen
Allergy Sinus Pe pain relief|Acetaminophen
Allergy, Sinus and Headache Relief Medication|Acetaminophen
Allergy/sinus Headache|Acetaminophen
Allpanto S|Acetaminophen
Alsiphene Forte Tab 500mg|Acetaminophen
Anacin Aspirin Free|Acetaminophen
Apap|Acetaminophen
Apap (acetaminophen 325mg)|Acetaminophen
Apap extra strength|Acetaminophen
Apap Extra Strength|Acetaminophen
Aphen|Acetaminophen
Apinophen EXTRA STRENGTH|Acetaminophen
Apo Acetaminophen Tab 325mg|Acetaminophen
Apo Acetaminophen Tab 500mg|Acetaminophen
Apo-acetaminophen Caplets 325mg|Acetaminophen
Apo-acetaminophen Caplets 500mg|Acetaminophen
Apo-oxycodone/acet|Acetaminophen
Arthritis 8 Hour|Acetaminophen
Arthritis Pain|Acetaminophen
Arthritis Pain Extended Relief|Acetaminophen
Arthritis Pain Relief|Acetaminophen
Arthritis Pain Relief temporary minor|Acetaminophen
Arthritis Pain Reliever|Acetaminophen
Aspirin Free|Acetaminophen
Aspirin Free Cold Head Congestion Day Time|Acetaminophen
Aspirin Free Pain Relief|Acetaminophen
Atasol 325 Mg Tablets|Acetaminophen
Atasol 325mg Caplets|Acetaminophen
Atasol Drops USP 80mg/ml|Acetaminophen
Atasol Forte Cap 500 mg|Acetaminophen
Atasol Forte Tab 500mg|Acetaminophen
Atasol Liq 80mg/5ml|Acetaminophen
Atasol Tab 325mg|Acetaminophen
Auroflu Day Time Severe Cold and Cough Warming Relief|Acetaminophen
Auroflu Flu and Sore Throat Warming Relief|Acetaminophen
Auroflu Night Time Severe Cold and Cough Warming Relief|Acetaminophen
Auromucus - Fast Maximum Cold and Sinus|Acetaminophen
Auromucus - Fast Maximum Cold, Flu and Sore Throat Relief|Acetaminophen
Aurophen - Adult Extra Strength Pain Reliever/fever Reducer|Acetaminophen
Aurophen Childrens Pain and Fever|Acetaminophen
Aurophen Cold and Flu Severe|Acetaminophen
Aurophen Cold Multi Symptom|Acetaminophen
Aurophen Cold Multi-symptom Severe|Acetaminophen
Aurophen Infants Pain and Fever|Acetaminophen
Aurophen Pain Away Plus Sleep Aid|Acetaminophen
Auroquil Cold and Flu Day Time Multi-symptom Relief|Acetaminophen
Auroquil Severe Cold and Flu Daytime Relief|Acetaminophen
Axacet-c1/8|Acetaminophen
Aypanal|Acetaminophen
Babies R Us Childrens Pain Relief|Acetaminophen
Babies R Us Infants Pain and Fever|Acetaminophen
Babies R Us Infants Pain Relief|Acetaminophen
Babies R Us Pain and Fever|Acetaminophen
Back Relief|Acetaminophen
Back-aid Forte - Tab|Acetaminophen
Bactimicina Childrens Pain and Fever|Acetaminophen
Baczol Cold Medicine|Acetaminophen
Balminil Cough and Flu|Acetaminophen
Benadryl Allergy & Cold Caplets|Acetaminophen
Benadryl Allergy Rapid Release|Acetaminophen
Benadryl Allergy Sinus Caplets|Acetaminophen
Benadryl Allergy Sinus Headache|Acetaminophen
Benadryl Pe Total Extra Strength|Acetaminophen
Benadryl Pe Total Regular Strength|Acetaminophen
Benadryl Total|Acetaminophen
Benylin 1 Nightime With Menthactin|Acetaminophen
Benylin 1 With Menthactin|Acetaminophen
Benylin 4 Flu - Syrup|Acetaminophen
Benylin A-d Extra Strength Caplets|Acetaminophen
Benylin A-d Regular Strength Caplets|Acetaminophen
Benylin A-d-ah Extra Strength Caplets|Acetaminophen
Benylin A-d-ah Regular Strength Caplets|Acetaminophen
Benylin All-in-one Cold and Flu Extra Strength|Acetaminophen
Benylin All-in-one Cold and Flu Extra Strength Syrup|Acetaminophen
Benylin All-in-one Cold and Flu Liquid Gels|Acetaminophen
Benylin All-in-one Cold and Flu Night Extra Strength|Acetaminophen
Benylin All-in-one Cold and Flu Night Extra Strength Syrup|Acetaminophen
Benylin All-in-one Cold and Flu Night Pe Caplets|Acetaminophen
Benylin All-in-one Cold and Flu Pe Caplets|Acetaminophen
Benylin Cold & Sinus|Acetaminophen
Benylin Cold & Sinus Plus|Acetaminophen
Benylin Cold and Sinus Night|Acetaminophen
Benylin Cold and Sinus Night Caplets|Acetaminophen
Benylin DM-d-e-a Cold and Sinus Liquid Gels|Acetaminophen
Benylin Extra Strength All-in-one Cold and Flu|Acetaminophen
Benylin Extra Strength All-in-one Cold and Flu Nightime|Acetaminophen
Benylin Extra Strength All-in-one Cold and Flu With Warming Sensation|Acetaminophen
Benylin Extra Strength Mucus & Phlegm Plus Cold Relief|Acetaminophen
Benylin Extra Strength Mucus & Phlegm Plus Cold Relief Night|Acetaminophen
Benylin for Children All-in-one Cold & Fever|Acetaminophen
Benylin for Children All-in-one Cold & Fever Nightime|Acetaminophen
Benylin for Children All-in-one Cold and Fever|Acetaminophen
Berkley and Jensen Acetaminophen|Acetaminophen
Berkley and Jensen Arthritis Pain Relief|Acetaminophen
Berkley and Jensen Pain Relief|Acetaminophen
Berkley and Jensen Pain Relief extra strength|Acetaminophen
Best Choice Daytime Severe Cold and Cough Berry infused with Menthol and Green Tea flavors|Acetaminophen
Best Choice Nighttime Severe Cold and Cough Honey Lemon infused with Chamomile and White Tea Flavors|Acetaminophen
Bf-paradac|Acetaminophen
Bromaphen Child Elixir|Acetaminophen
Broncochem COLD AND FLU TEA|Acetaminophen
Broncomar|Acetaminophen
Buckley's Cold & Sinus Day|Acetaminophen
Buckley's Complete|Acetaminophen
Buckley's Complete Daytime Plus Mucus Relief Softgels|Acetaminophen
Buckley's Complete Daytime Softgels|Acetaminophen
Buckley's Complete Extra Strength Cough, Cold & Flu Day|Acetaminophen
Buckley's Complete Extra Strength Cough, Cold and Flu Night|Acetaminophen
Buckley's Complete Plus Mucous Relief|Acetaminophen
Buckley's Complete Plus Mucous Relief Extra Strength|Acetaminophen
Buckley's Complete Pm - Nighttime|Acetaminophen
Buckley's Sinus Pain Relief Extra Strength Tablets|Acetaminophen
Buckleys Daytime Cold and Sinus|Acetaminophen
Calmadol Childrens|Acetaminophen
Calmylin Cough and Flu Liq|Acetaminophen
Capital and Codeine|Acetaminophen
Care One Arthritis Pain Relief|Acetaminophen
Care One Arthritis Pain Relief temporary minor|Acetaminophen
Care One Cold Head Congestion|Acetaminophen
Care One Cold Head Congestion daytime non-drowsy|Acetaminophen
Care One Cold Multi Symptom|Acetaminophen
Care One Flu and Severe Cold and Cough daytime|Acetaminophen
Care One Flu and Severe Cold and Cough nighttime|Acetaminophen
Care One Flu and Severe Cold daytime|Acetaminophen
Care One Pain Relief|Acetaminophen
Care One Pain Relief 8 hour|Acetaminophen
Care One Pain Relief Childrens|Acetaminophen
Care One Pain Relief childrens|Acetaminophen
Care One Pain Relief extra strength|Acetaminophen
Care One Pain Relief infants|Acetaminophen
Care One Pain Relief Pm extra strength|Acetaminophen
Care One Sinus congestion and pain|Acetaminophen
Careall Non Aspirin Extra Strength|Acetaminophen
Careone Childrens Pain and Fever|Acetaminophen
Careone Daytime Cold Flu Relief|Acetaminophen
Careone Daytime Severe Cold and Cough Berry infused with Menthol and Green Tea flavors|Acetaminophen
Careone Daytime Severe Cold Flu Relief|Acetaminophen
Careone Infants Pain Relief|Acetaminophen
Careone Mucus Relief|Acetaminophen
Careone Mucus Relief Cold and Sinus|Acetaminophen
Careone Mucus Relief Severe Congestion and Cold|Acetaminophen
Careone Night Time Severe Cold and Cough honey lemon infused with chamomile and white tea flavors|Acetaminophen
Careone Pain Relief|Acetaminophen
Careone Pain Relief infants|Acetaminophen
Careone Pain Relief Pm|Acetaminophen
Careone Severe Sinus Congestion and Pain|Acetaminophen
Cephanol 160mg Caplet|Acetaminophen
Cetafen|Acetaminophen
Cetafen Extra|Acetaminophen
Children Feverhalt Drops 80mg/ml|Acetaminophen
Children's Acetaminophen 80 mg|Acetaminophen
Children's Acetaminophen 80mg Chewable Tablets USP|Acetaminophen
Children's Acetaminophen Chewable Tabs 160mg|Acetaminophen
Children's Acetaminophen Chewable Tabs 80mg|Acetaminophen
Children's Acetaminophen Dps 80mg/ml|Acetaminophen
Children's Acetaminophen Easymelt Tablets|Acetaminophen
Children's Acetaminophen Elixir|Acetaminophen
Children's Acetaminophen Elixir U.S.P. 160mg/5ml|Acetaminophen
Children's Acetaminophen Elixir-80mg/ml|Acetaminophen
Children's Acetaminophen Elx 160mg|Acetaminophen
Children's Acetaminophen Oral Soln 160mg/5ml|Acetaminophen
Children's Acetaminophen Oral Solution Double Strength|Acetaminophen
Children's Acetaminophen Oral Solution USP|Acetaminophen
Children's Acetaminophen Suspension|Acetaminophen
Children's Acetaminophen Suspension (160mg/5ml - Bubblegum Flavour)|Acetaminophen
Children's Acetaminophen Suspension (160mg/5ml - Cherry Flavour)|Acetaminophen
Children's Acetaminophen Syr 80ml/5ml|Acetaminophen
Children's Acetaminophen Syrup 160mg/5ml|Acetaminophen
Children's Acetaminophen Tablets|Acetaminophen
Children's Allergy and Sinus Medication Liquid Suspension|Acetaminophen
Children's Chewable Acetaminophen 80mg Tablets|Acetaminophen
Children's Chewable Acetaminophen Tab 160 mg|Acetaminophen
Children's Chewable Acetaminophen Tab 80 mg|Acetaminophen
Children's Chewable Acetaminophen Tab 80mg|Acetaminophen
Children's Chewable Acetaminophen Tablet|Acetaminophen
Children's Chewable Acetaminophen Tablets (80mg - Bubblegum Flavour)|Acetaminophen
Children's Chewable Acetaminophen Tablets (80mg - Fruit Splash Flavour)|Acetaminophen
Children's Chewable Acetaminophen Tablets (80mg - Grape Flavour)|Acetaminophen
Children's Chewable Acetaminophen Tablets 80mg|Acetaminophen
Children's Chewable Acetaminophen Tablets USP Double Strength|Acetaminophen
Children's Coltalin Fruit Flavor Chewable Cold Tablets|Acetaminophen
Children's Duofen|Acetaminophen
Children's Fever From Colds Or Flu|Acetaminophen
Children's Feverhalt   (160mg Chewable Tablets)|Acetaminophen
Children's Feverhalt   (80mg Chewable Tablets)|Acetaminophen
Children's Feverhalt Syrup|Acetaminophen
Children's Little Remedies for Fevers|Acetaminophen
Children's Meltables|Acetaminophen
Children's Nonspil Acetaminophen Syrup 160mg/5ml|Acetaminophen
Children's Pain Relief|Acetaminophen
Children's Sinus Medication Liquid Suspension|Acetaminophen
Children's Tempra Tablets|Acetaminophen
Children's Tylenol|Acetaminophen
Children's Tylenol Acetaminophen Sus Liq|Acetaminophen
Children's Tylenol Allergy - D Chewable Tablets|Acetaminophen
Children's Tylenol Allergy-d Suspension|Acetaminophen
Children's Tylenol Chewable Tablets|Acetaminophen
Children's Tylenol Chewable Tablets Bbg.fl.|Acetaminophen
Children's Tylenol Cold|Acetaminophen
Children's Tylenol Cold & Stuffy Nose|Acetaminophen
Children's Tylenol Cold and Cough|Acetaminophen
Children's Tylenol Cold and Cough Nighttime|Acetaminophen
Children's Tylenol Cold Chewable Tablets|Acetaminophen
Children's Tylenol Cold Liquid|Acetaminophen
Children's Tylenol Cold Liquid With DM|Acetaminophen
Children's Tylenol Cold Suspension|Acetaminophen
Children's Tylenol Complete Cold, Cough & Fever|Acetaminophen
Children's Tylenol Complete Cold, Cough & Fever Nighttime|Acetaminophen
Children's Tylenol Cough and Runny Nose|Acetaminophen
Children's Tylenol Decongestant|Acetaminophen
Children's Tylenol Decongestant - Tab|Acetaminophen
Children's Tylenol Fever & Sore Throat Pain|Acetaminophen
Children's Tylenol Sinus Chewable Tablet|Acetaminophen
Children's Tylenol Sinus Suspension|Acetaminophen
Children's Tylenol Sus 160mg/5ml Liq-grape|Acetaminophen
Childrens Accudial Pain reliever/ Fever reducer|Acetaminophen
Childrens Acetaminophen|Acetaminophen
Childrens Acetaminophen Cherry|Acetaminophen
Childrens Acetaminophen Melts|Acetaminophen
Childrens Acetaminophen Oral Suspension Grape Flavor|Acetaminophen
Childrens Aspirin Free Rapid Tabs|Acetaminophen
Childrens Chewable Acetaminophen|Acetaminophen
Childrens Chewable Acetaminophen Tab 80mg USP|Acetaminophen
Childrens Chewable Mapap|Acetaminophen
Childrens Chewable Pain Reliever|Acetaminophen
Childrens Cold, Cough and Sore Throat|Acetaminophen
Childrens Coltalin|Acetaminophen
Childrens Cough Plus Sore Throat|Acetaminophen
Childrens Delsym Cough Plus Cold Day Time|Acetaminophen
Childrens Delsym Cough Plus Cold Night Time|Acetaminophen
Childrens Dimetapp Multi-symptom Cold and Flu|Acetaminophen
Childrens Dimetapp Multisymptom Cold and Flu|Acetaminophen
Childrens Fast-dissolving Pain and Fever|Acetaminophen
Childrens Fever Reducer|Acetaminophen
Childrens Fever Reducer and Pain Reliever|Acetaminophen
Childrens Flu Relief|Acetaminophen
Childrens Mapap|Acetaminophen
Childrens Mapap Acetaminophen|Acetaminophen
Childrens Mucinex Cold, Cough and Sore Throat|Acetaminophen
Childrens Mucinex Multi-Symptom Cold and Fever|Acetaminophen
Childrens Mucinex Night Time Multi-Symptom Cold|Acetaminophen
Childrens Multi Symptom Fever and Cold|Acetaminophen
Childrens Multi-symptom Cold and Fever Relief|Acetaminophen
Childrens Multi-symptom Cold Plus Dye-Free|Acetaminophen
Childrens Nanomol Dye-free Cherry|Acetaminophen
Childrens Non Aspirin|Acetaminophen
Childrens non aspirin|Acetaminophen
Childrens Nortemp|Acetaminophen
Childrens Pain and Fever|Acetaminophen
Childrens Pain and Fever Acetaminophen|Acetaminophen
Childrens Pain and Fever Lil Drug Store Products|Acetaminophen
Childrens Pain Relief|Acetaminophen
Childrens Pain Relief Acetaminophen|Acetaminophen
Childrens Pain Relief Dye-free|Acetaminophen
Childrens Pain Relief Grape Flavor|Acetaminophen
Childrens Pain Relief Plus cough and sore throat|Acetaminophen
Childrens Pain Relief ReadyInCase|Acetaminophen
Childrens Pain Reliever|Acetaminophen
Childrens Plus Cold|Acetaminophen
Childrens Plus Cold Grape|Acetaminophen
Childrens Plus Cough and Runny Nose|Acetaminophen
Childrens Plus Cough and Sore Throat|Acetaminophen
Childrens Plus Flu|Acetaminophen
Childrens Plus Flu with PE|Acetaminophen
Childrens Plus Multi Symptom Cold|Acetaminophen
Childrens Plus Multi Symptom Cold DYE FREE|Acetaminophen
Childrens Plus Multi Symptom Cold Dye Free|Acetaminophen
Childrens Plus Multi-symptom Cold Grape with PE|Acetaminophen
Childrens Plus Multi-symptom Grape with PE|Acetaminophen
Childrens Plus Multi-symptom with PE|Acetaminophen
Childrens Qpap|Acetaminophen
Childrens Rapid Melts|Acetaminophen
Childrens Silapap|Acetaminophen
Childrens Strength Pain and Fever Relief|Acetaminophen
Childrens Tussnex|Acetaminophen
Childrens Tylenol|Acetaminophen
Circle K Cold|Acetaminophen
Circle K Daytime Cold and Flu|Acetaminophen
Circle K Multi-symptom Sinus Relief|Acetaminophen
Circle K Pain Reliever|Acetaminophen
Cleartime|Acetaminophen
Cold|Acetaminophen
Cold & Cough|Acetaminophen
Cold & Cough Extra Strength|Acetaminophen
Cold & Flu|Acetaminophen
Cold & Flu Daytime|Acetaminophen
Cold & Flu Relief Syrup|Acetaminophen
Cold & Sinus Liquid Fastgels|Acetaminophen
Cold and Chest Congestion Relief|Acetaminophen
Cold and Cough|Acetaminophen
Cold and Cough Daytime|Acetaminophen
Cold and Cough Pe|Acetaminophen
Cold and Cough Relief Extra Strength|Acetaminophen
Cold and Cough Sinus Relief Pe NON-DROWSY|Acetaminophen
Cold and Flu|Acetaminophen
Cold and Flu Bp|Acetaminophen
Cold and Flu Capsules|Acetaminophen
Cold and Flu Day Time Multi-symptom Relief|Acetaminophen
Cold and Flu Daytime|Acetaminophen
Cold and Flu DAYTIME MAXIMUM STRENGTH NON-DROWSY SEVERE|Acetaminophen
Cold and Flu Daytime Relief|Acetaminophen
Cold and Flu Daytime/Multi-Symptom/Non-Drowsy|Acetaminophen
Cold and Flu Extra Strength Day|Acetaminophen
Cold and Flu Hbp|Acetaminophen
Cold and Flu Medicine - Day Time Formula|Acetaminophen
Cold and Flu Nighttime|Acetaminophen
Cold and Flu Nighttime Relief Syrup Extra Strength|Acetaminophen
Cold and Flu Non-Drowsy, DayTime|Acetaminophen
Cold and Flu Non-Drowsy, Daytime|Acetaminophen
Cold and Flu Relief|Acetaminophen
Cold and Flu Relief daytime|Acetaminophen
Cold and Flu Relief Daytime Multi Symptom|Acetaminophen
Cold and Flu Relief Daytime Non Drowsy|Acetaminophen
Cold and Flu Relief Hbp MAXIMUM STRENGTH multi-symptom|Acetaminophen
Cold and Flu Relief Multi symptom|Acetaminophen
Cold and Flu Relief Non-Drowsy, DayTime, Multi-Symptom|Acetaminophen
Cold and Flu Relief Severe|Acetaminophen
Cold and Flu Severe|Acetaminophen
Cold and Flu severe|Acetaminophen
Cold and Flu-in-one Extra Strength|Acetaminophen
Cold and Flu-in-one Regular Strength|Acetaminophen
Cold and Head Congestion Relief Severe|Acetaminophen
Cold and Head Congestion Severe/Daytime|Acetaminophen
Cold and Nasal Congestion Relief Nighttime Extra Strength|Acetaminophen
Cold and Nasal Congestion Relief Super Strength|Acetaminophen
Cold and Sinus Complete Liquid Gels|Acetaminophen
Cold and Sinus Daytime Relief|Acetaminophen
Cold and Sinus Maximum Strength|Acetaminophen
Cold and Sinus Maximum Strength, Multi-Symptom|Acetaminophen
Cold and Sinus Pe Pressure, Pain and Cold Non-Drowsy|Acetaminophen
Cold Chest Congestion Pe Regular Strength|Acetaminophen
Cold Daytime|Acetaminophen
Cold DayTime, Multi-Symptom|Acetaminophen
Cold Flu and Sore Throat Relief Maximum Strength|Acetaminophen
Cold Head Congestion|Acetaminophen
Cold Head Congestion Daytime|Acetaminophen
Cold Head Congestion Daytime Non-drowsy|Acetaminophen
Cold Head Congestion Nighttime|Acetaminophen
Cold Head Congestion Non-Drowsy|Acetaminophen
Cold Head Congestion Severe|Acetaminophen
Cold head congestion severe|Acetaminophen
Cold Medication Daytime Relief|Acetaminophen
Cold Medication Extra Strength Daytime|Acetaminophen
Cold Medication Extra Strength Night Time|Acetaminophen
Cold Medication Reg Strength D Tab|Acetaminophen
Cold Medication Reg Strength N Tab|Acetaminophen
Cold Medication Regular Nighttime Tablets|Acetaminophen
Cold Medication Regular Nighttime Tablets Pe|Acetaminophen
Cold Medicine XL-3 for Children|Acetaminophen
Cold Medicine XL3|Acetaminophen
Cold Multi Symptom Nighttime|Acetaminophen
Cold multi symptom severe|Acetaminophen
Cold Multi-symptom|Acetaminophen
Cold Multi-symptom Day-time|Acetaminophen
Cold Multi-symptom Daytime|Acetaminophen
Cold Multi-symptom Daytime Non-drowsy|Acetaminophen
Cold Multi-symptom Daytime Rapid Release|Acetaminophen
Cold Multi-symptom Night-time|Acetaminophen
Cold Multi-symptom Nighttime|Acetaminophen
Cold Multi-symptom Non-Drowsy, Daytime|Acetaminophen
Cold Multi-symptom Severe|Acetaminophen
Cold Multi-symptom Severe Day Time|Acetaminophen
Cold Multi-Symptom, Daytime|Acetaminophen
Cold pain relief|Acetaminophen
Cold pe|Acetaminophen
Cold Preparation|Acetaminophen
Cold Preparation For Cough and Sinus Relief|Acetaminophen
Cold Relief|Acetaminophen
Cold Relief daytime|Acetaminophen
Cold Relief Daytime|Acetaminophen
Cold Relief Daytime Tablet|Acetaminophen
Cold Relief Head Congestion|Acetaminophen
Cold Relief head congestion|Acetaminophen
Cold Relief Head Congestion Daytime Non-Drowsy|Acetaminophen
Cold Relief multi symptom|Acetaminophen
Cold Relief Multi Symptom Severe|Acetaminophen
Cold Relief Multi-Symptom|Acetaminophen
Cold Relief Multi-symptom Daytime|Acetaminophen
Cold Relief Multi-symptom, Daytime|Acetaminophen
Cold Relief Nightime Tablet|Acetaminophen
Cold Relief non drowsy|Acetaminophen
Cold Relief severe|Acetaminophen
Cold Relief Severe Head Congestion|Acetaminophen
Cold Relief Severe Pain Cough|Acetaminophen
Cold Relief severe, multi-symptom|Acetaminophen
Cold Remedy Soothing|Acetaminophen
Cold Tabs Ii|Acetaminophen
Cold Terminator Max|Acetaminophen
Cold, Flu and Sore Throat Maximum Strength|Acetaminophen
Cold, Flu and Sore Throat Maxium Strength|Acetaminophen
Cold,sore Throat Pain & Cough Ultra Strength|Acetaminophen
Cold-flu Relief Multi Symptom|Acetaminophen
Cold/flu Relief|Acetaminophen
Coldaside Cold|Acetaminophen
Coldaside Cold & Flu Extra Strength|Acetaminophen
Coltalin|Acetaminophen
Coltalin Cold & Allergy Tablets|Acetaminophen
Coltalin-dm|Acetaminophen
Coltalin-nd|Acetaminophen
Complete Allergy and Sinus Multi Symptom|Acetaminophen
Complete Daytime|Acetaminophen
Complete Daytime Liquid Capsules|Acetaminophen
Complete One Cold and Flu Extra Strength|Acetaminophen
Complete One Cold and Flu Extra Strength Tablets|Acetaminophen
Complete One Cold and Flu Nightime Extra Strength Liquid|Acetaminophen
Complete One Cold and Flu Nightime Extra Strength Tablets|Acetaminophen
Complete One Cold and Flu Pe Night|Acetaminophen
